"franchise_id","franchise_name","user_name","user_id"
8,"DELETED-Ze3J76jkbW6G","DELETED-Ze3J76jkbW6G","820555815168651264"
9,"The Main Shyt Stain","WashedSenpai","438048539466002432"
10,"WillyVanilly","WillyVanilly","456680438451138560"
11,"moemoe7144","moemoe7144","606628071889514496"
12,"NotSoLilRicky","NotSoLilRicky","459580478010159104"
1,"Oklahoma Sooners","georgewickson","829056917539225600"
2,"Rugters Scarlet Knights ","BobaFett215","831752143982686208"
3,"Temple Owls","Retrowise","830618210796699648"
4,"UNLV Rebels","UchihaClan110","760948031523770368"
5,"UCSC Banana Slugs","DELETED-Ze3J76jkbW6G","820555815168651264"
6,"Penn State Nittany Lions","MattyIce31","471906087587540992"
7,"Florida State Seminole","xmemeti0223","606886766468722688"
8,"Arkansas Razorbacks ","LooseCannon22","832864939008950272"
9,"OSU BUCKEYES","moemoe7144","606628071889514496"
10,"Alabama Crimson Tide ","JoshLovesSaquon","735732352554258432"
